model,accuracy,precision,recall,f1,roc_auc,best_model_cv_roc_auc_mean,best_model_cv_roc_auc_std
Random Forest,0.7494677075940384,0.5180102915951973,0.8074866310160428,0.6311389759665622,0.8542690330414116,0.8611364224731487,0.009862486913480444
Decision Tree,0.7409510290986515,0.5076923076923077,0.7941176470588235,0.6193952033368092,0.83836446304477,,
Logistic Regression,0.7501774308019872,0.519434628975265,0.786096256684492,0.625531914893617,0.8521816631791056,,
XGBoost,0.8041163946061036,0.657051282051282,0.5481283422459893,0.597667638483965,0.8536955230049859,,
