model,accuracy,precision,recall,f1,roc_auc,best_model_cv_roc_auc_mean,best_model_cv_roc_auc_std
Logistic Regression,0.7530163236337828,0.5232142857142857,0.7834224598930482,0.6274089935760171,0.8507065540313622,0.8701505681786916,0.0014596798264434278
Decision Tree,0.7324343506032647,0.4973913043478261,0.7647058823529411,0.6027397260273972,0.8224146839236353,,
Random Forest,0.7636621717530163,0.538899430740038,0.7593582887700535,0.6304106548279689,0.8486863520111602,,
XGBoost,0.7693399574166075,0.5475728155339806,0.7540106951871658,0.6344206974128234,0.8503577979281303,,
